dataset,defense,feature_set,error_bound,epsilon,closed_world
liberatore,session-random-255,liberatore,0.16286093217720674,0.1645059920981886,True
liberatore,session-random-255,herrmann,0.09176102253892633,0.09268790155447104,True
liberatore,session-random-255,panchenko,0.13850088527868348,0.1398998841198823,True
liberatore,session-random-255,vng++,0.17857100926605926,0.1803747568344033,True
liberatore,session-random-255,CUMUL,0.08604797658818467,0.08691714806887339,True
liberatore,packet-random-255,liberatore,0.34544922632121144,0.3489386124456681,True
liberatore,packet-random-255,herrmann,0.5567287131553694,0.5623522355104742,True
liberatore,packet-random-255,panchenko,0.08604767526008246,0.08691684369705299,True
liberatore,packet-random-255,vng++,0.12346014104163572,0.12470721317336941,True
liberatore,packet-random-255,CUMUL,0.08222246501330889,0.08305299496293828,True
liberatore,none,liberatore,0.059114937277431626,0.05971205785599154,True
liberatore,none,herrmann,0.04392442162372666,0.04436810265022895,True
liberatore,none,panchenko,0.06204418208623749,0.06267089099619949,True
liberatore,none,vng++,0.11232181296331636,0.1134563767306226,True
liberatore,none,CUMUL,0.08183206398816313,0.08265865049309408,True
liberatore,session-random-gaussian,liberatore,0.41583103532148313,0.42003134880957893,True
liberatore,session-random-gaussian,herrmann,0.40914545710651445,0.41327823950152975,True
liberatore,session-random-gaussian,panchenko,0.2428975973803859,0.24535110846503627,True
liberatore,session-random-gaussian,vng++,0.15908123140706468,0.16068811253238857,True
liberatore,session-random-gaussian,CUMUL,0.08850623962225895,0.08940024204268582,True
liberatore,packet-random-gaussian,liberatore,0.5996655280403742,0.6057227555963376,True
liberatore,packet-random-gaussian,herrmann,0.6331891257262471,0.6395849754810576,True
liberatore,packet-random-gaussian,panchenko,0.11684537451835027,0.11802563082661643,True
liberatore,packet-random-gaussian,vng++,0.13044371912014968,0.13176133244459565,True
liberatore,packet-random-gaussian,CUMUL,0.08642211182433192,0.08729506244882011,True
liberatore,session-random-255,liberatore,0.17090110487194543,0.17262737865853076,True
liberatore,session-random-255,herrmann,0.10978752565076659,0.11089649055632989,True
liberatore,session-random-255,panchenko,0.15592985906459886,0.15750490814605944,True
liberatore,session-random-255,vng++,0.1786733087097405,0.18047808960579845,True
liberatore,session-random-255,CUMUL,0.09015501334952142,0.09106567005002163,True
liberatore,packet-random-255,liberatore,0.38542742371159444,0.3893206300117115,True
liberatore,packet-random-255,herrmann,0.532305778930955,0.5376826049807626,True
liberatore,packet-random-255,panchenko,0.11656196556366971,0.11773935915522193,True
liberatore,packet-random-255,vng++,0.1419227629513924,0.14335632621352767,True
liberatore,packet-random-255,CUMUL,0.09059519681069088,0.09151029980877866,True
liberatore,none,liberatore,0.03228019514457885,0.032606257721796816,True
liberatore,none,herrmann,0.021332129302380074,0.02154760535593947,True
liberatore,none,panchenko,0.03533452189390253,0.0356914362564672,True
liberatore,none,vng++,0.08928689331714777,0.0901887811284321,True
liberatore,none,CUMUL,0.06783010152096683,0.06851525406158265,True
liberatore,session-random-gaussian,liberatore,0.4028442498472243,0.40691338368406493,True
liberatore,session-random-gaussian,herrmann,0.39438875356618786,0.3983724783496847,True
liberatore,session-random-gaussian,panchenko,0.22894281225290913,0.23125536591202944,True
liberatore,session-random-gaussian,vng++,0.1372242010459955,0.13861030408686414,True
liberatore,session-random-gaussian,CUMUL,0.07678491778048445,0.07756052301059035,True
liberatore,packet-random-gaussian,liberatore,0.5349941806440012,0.5403981622666678,True
liberatore,packet-random-gaussian,herrmann,0.6531536110556143,0.6597511222783984,True
liberatore,packet-random-gaussian,panchenko,0.0897254695843842,0.09063178745897393,True
liberatore,packet-random-gaussian,vng++,0.11261734279529913,0.11375489171242337,True
liberatore,packet-random-gaussian,CUMUL,0.07803254563613432,0.07882075316781245,True
liberatore,session-random-255,liberatore,0.1361796110256478,0.1375551626521695,True
liberatore,session-random-255,herrmann,0.08238595695881684,0.08321813834223923,True
liberatore,session-random-255,panchenko,0.1274114022058243,0.1286983860664892,True
liberatore,session-random-255,vng++,0.15820699612184147,0.15980504658771866,True
liberatore,session-random-255,CUMUL,0.08036969534564607,0.08118151045014754,True
liberatore,packet-random-255,liberatore,0.3557470004535124,0.35934040449849736,True
liberatore,packet-random-255,herrmann,0.5566165380260153,0.5622389272990054,True
liberatore,packet-random-255,panchenko,0.09878861381407739,0.09978647860007817,True
liberatore,packet-random-255,vng++,0.12231927449048949,0.12355482271766614,True
liberatore,packet-random-255,CUMUL,0.08331353259514923,0.08415508342944367,True
liberatore,none,liberatore,0.04298310469136824,0.043417277466028525,True
